epoch,train_loss,val_loss,lr
0.21,0.527531027495861,0.5221745392023507,0.01
0.43,0.4894649456441402,0.5348021870447417,0.01
0.64,0.4704212360084057,0.4598421858528913,0.01
0.85,0.4719345427677035,0.616105561034154,0.01
1.0,0.45829424755041476,0.6299708579051293,0.01
1.21,0.45781416311860085,0.5413017353769076,0.01
1.43,0.43571351453661916,0.4646943201452999,0.01
1.64,0.4278759396324555,0.4508127782304408,0.01
1.85,0.43665711959823966,0.5935430218607692,0.01
2.0,0.42697337511509437,0.5763985027196044,0.01
2.21,0.4481092288345099,0.5006446323152316,0.01
2.43,0.42007202818989753,0.4681463083725865,0.01
2.64,0.41358570409317813,0.43886987145169304,0.01
2.85,0.42356515241786835,0.6436086257888098,0.01
3.0,0.41409867297432595,0.6342676588791912,0.01
3.21,0.44102559104561806,0.46823278397826823,0.01
3.43,0.4063944511115551,0.7972103415404336,0.01
3.64,0.4014993397394816,0.44709892027964027,0.01
3.85,0.408796700425446,0.7214878683878203,0.01
4.0,0.3983828864013627,0.6722407640289452,0.01
4.21,0.4292011661082506,0.47726752672155026,0.01
4.43,0.39532277185469866,0.4436290807138055,0.01
4.64,0.3887514538814624,0.47331089362249534,0.01
4.85,0.3964179931767285,0.7901804237547567,0.01
5.0,0.3864902802280835,0.6702017022644059,0.01
5.21,0.41870398409664633,0.48713687984114984,0.005
5.43,0.38273864969611165,0.4604329278661033,0.005
5.64,0.37593485730389753,0.4652645292423539,0.005
5.85,0.38194672180339695,0.7487279441902193,0.005
6.0,0.3720661281521572,0.6255925341935481,0.005
6.21,0.40456479877233503,0.507623618563353,0.005
6.43,0.3703726055845618,0.49612295539197276,0.005
6.64,0.36352844352523483,0.48287840238062,0.005
6.85,0.36927030701190233,0.7538253925109314,0.005
7.0,0.35986401371284127,0.6694062247367228,0.005
