epoch,train_loss,val_loss,lr
0.21,0.21480387214571237,0.12084355281066086,0.0001
0.43,0.1406372772809118,0.06768473850215896,0.0001
0.64,0.11120668550332387,0.06388636560068797,0.0001
0.85,0.09849279602756723,0.060054145035160295,0.0001
1.0,0.08951303198647347,0.05929002022149704,0.0001
1.21,0.05076374492608011,0.060718059602935436,0.0001
1.43,0.04734906749799848,0.057429089321423384,0.0001
1.64,0.046209702426567675,0.05713329522602134,0.0001
1.85,0.04887318570516072,0.05883603655117548,0.0001
2.0,0.04666648760115929,0.057637497293368235,0.0001
2.21,0.04852444670628756,0.05602220793933434,0.0001
2.43,0.04422809199080802,0.06004515327749995,0.0001
2.64,0.04332525100636606,0.056445859727781204,0.0001
2.85,0.046104462445364335,0.05962049704581752,0.0001
3.0,0.04408754325613952,0.05914544922662741,0.0001
3.21,0.04734808718319982,0.05593886617886818,0.0001
3.43,0.04269912027637474,0.06371250489758233,0.0001
3.64,0.041712532425299285,0.05618498524871923,0.0001
3.85,0.04423358379164711,0.061709220639540485,0.0001
4.0,0.04230535961140897,0.059675271559696076,0.0001
4.21,0.045408268221653995,0.05625835855854517,0.0001
4.43,0.040976480551762506,0.05950894295159033,0.0001
4.64,0.04000260823095838,0.05644475565276156,0.0001
4.85,0.042444025067379695,0.06582397191737921,0.0001
5.0,0.04067297348565757,0.06047631265058861,0.0001
5.21,0.04378410540288314,0.057830399154859075,5e-05
5.43,0.039357203365070745,0.05744398394757408,5e-05
5.64,0.038267042222432796,0.058264186530831756,5e-05
5.85,0.04030699988827109,0.06456541796057028,5e-05
6.0,0.038642067611297015,0.05874754990829881,5e-05
6.21,0.041800032241735605,0.05910821936993023,5e-05
6.43,0.037638476211577655,0.05783515839869062,5e-05
6.64,0.036683973224135115,0.05798685398363208,5e-05
6.85,0.03867847819608869,0.06574361307262364,5e-05
7.0,0.03716259586014521,0.059495303693022264,5e-05
